,mrpc_acc,mrpc_f1,mrpc_combined,stsb_pearsonr,stsb_spearmanr,stsb_combined,qnli_acc,mnli_acc,sst2_acc,mlm_acc,mlm_ppl
full-base,0.8308823529411765,0.8836424957841484,0.8572624243626625,0.8778407955576082,0.8744040581743393,0.8761224268659737,0.8965769723595094,0.8208863983698421,0.9197247706422018,0.5121214686873818,22.00306485103178
full-0.1,0.8259803921568627,0.880672268907563,0.8533263305322129,0.8785813198511692,0.8745672130910597,0.8765742664711145,0.895295625114406,0.8204788588894549,0.9185779816513762,0.512742358818051,21.843149287752293
random-0.1,0.7745098039215687,0.853968253968254,0.8142390289449113,0.8722259745503634,0.8697752204644706,0.8710005975074171,0.8848617975471352,0.8080489047376465,0.9128440366972477,0.4619987017751813,29.730651048089147
upper-0.1,0.8382352941176471,0.8877551020408163,0.8629951980792316,0.8792554050984681,0.87481866166294,0.877037033380704,0.8962108731466227,0.8207845134997452,0.9151376146788991,0.5122908023593825,22.009109003287012
lower-0.1,0.8259803921568627,0.880672268907563,0.8533263305322129,0.8806460962531042,0.8767174191993631,0.8786817577262336,0.8973091707852828,0.82190524707081,0.9162844036697247,0.5115005785567127,21.898881367575754
full-0.3,0.8382352941176471,0.8877551020408163,0.8629951980792316,0.8797780209498232,0.8762630541175214,0.8780205375336723,0.8941973274757459,0.8207845134997452,0.9174311926605505,0.507239014478029,22.513577598933
random-0.3,0.7058823529411765,0.8013245033112583,0.7536034281262174,0.7534278029052497,0.7645702992004987,0.7589990510528741,0.8129233022149003,0.7657666836474784,0.893348623853211,0.3300595490079869,89.84131681440115
upper-0.3,0.7352941176470589,0.8363636363636363,0.7858288770053476,0.8707569727114384,0.8664900153532605,0.8686234940323494,0.8812008054182684,0.8097809475292919,0.9151376146788991,0.46688115598453417,30.00312023155321
lower-0.3,0.8112745098039216,0.8714524207011687,0.8413634652525451,0.8868222782446311,0.8832420571482429,0.885032167696437,0.8896210873146623,0.8157921548650026,0.911697247706422,0.49976011063133235,23.19660690474427
full-0.45,0.8063725490196079,0.8723747980613893,0.8393736735404986,0.8802953807265539,0.8764864813177757,0.8783909310221648,0.8903532857404357,0.8141619969434539,0.9151376146788991,0.5032596731860131,23.16060365294618
random-0.45,0.7156862745098039,0.8060200668896321,0.760853170699718,0.2928791294259281,0.2998385565659162,0.29635884299592213,0.6296906461651107,0.7003565970453388,0.8371559633027523,0.252081393051675,184.56942581054258
upper-0.45,0.6887254901960784,0.7879799666110183,0.7383527284035484,0.09083022124664991,0.10074985235714247,0.09579003680189618,0.6080907926047959,0.6539989811512991,0.8405963302752294,0.16828944769000648,471.3042020907574
lower-0.45,0.8014705882352942,0.8661157024793389,0.8337931453573165,0.8773526368336865,0.8746913448492117,0.876021990841449,0.8508145707486728,0.7804381049414162,0.9048165137614679,0.4021392487229419,43.32506585688544
full-0.495,0.7916666666666666,0.8648648648648649,0.8282657657657657,0.8803068140303856,0.8772662416416803,0.878786527836033,0.886326194398682,0.8155883851248089,0.9105504587155964,0.4952445460446476,24.739271117556726
random-0.495,0.6936274509803921,0.7933884297520661,0.7435079403662291,0.27324807336376,0.2799298637522655,0.27658896855801274,0.6229178107267069,0.6898624554253693,0.838302752293578,0.23830892106228657,226.52209789035192
upper-0.495,0.6838235294117647,0.8122270742358079,0.7480253018237863,0.08800312019630102,0.07548495949918807,0.08174403984774455,0.6117517847336629,0.6908813041263372,0.8509174311926605,0.12877825755651512,703.9141203841688
lower-0.495,0.7892156862745098,0.8547297297297297,0.8219727080021197,0.8767205336944595,0.8730721035196723,0.874896318607066,0.8497162731100129,0.7736118186449312,0.9048165137614679,0.39344678689357376,47.63009609329515
full-0.7,0.7107843137254902,0.8090614886731391,0.7599229011993147,0.8071645599415507,0.8125381418695217,0.8098513509055362,0.8365367014460919,0.7734080489047377,0.8738532110091743,0.3220444218666215,99.66159673820772
random-0.7,0.678921568627451,0.7910685805422647,0.7349950745848579,0.1553492973507209,0.15276644514761312,0.154057871249167,0.615046677649643,0.6052980132450331,0.8153669724770642,0.15022718934326756,574.1430438327594
full-0.9,0.6764705882352942,0.773972602739726,0.7252215954875101,0.13749784065064918,0.13771522658893204,0.1376065336197906,0.5943620721215449,0.3544574630667346,0.8360091743119266,0.20684108034882737,327.69451997802577
random-0.9,0.6838235294117647,0.8122270742358079,0.7480253018237863,0.053422541714910204,0.07360418240220377,0.06351336205855698,0.6077246933919092,0.5527254202750892,0.8142201834862385,0.151581858719273,626.5514202612245
full-0.95,0.6813725490196079,0.7962382445141066,0.7388053967668573,0.0860348070309133,0.08107421246174325,0.08355450974632828,0.6112026359143328,0.630667345899134,0.8325688073394495,0.20272062766347754,379.2852986035694
random-0.95,0.6838235294117647,0.8122270742358079,0.7480253018237863,0.0633510752305612,0.08228619906219538,0.07281863714637829,0.6058941973274757,0.5476311767702496,0.8107798165137615,0.14960629921259844,651.0324543372475
full-0.99,0.6838235294117647,0.8122270742358079,0.7480253018237863,0.018815332344212073,0.04952950922578468,0.03417242078499838,0.5053999633900788,0.5661742231278655,0.8165137614678899,0.18660570654474642,483.9246009793719
random-0.99,0.6838235294117647,0.8122270742358079,0.7480253018237863,0.061601972178185124,0.07882546358089568,0.0702137178795404,0.6099212886692293,0.536729495669893,0.8211009174311926,0.1330398216351988,768.7804525166699
